,title,year,lifetime_gross,ratingInteger,ratingCount,duration,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western
290,THE FOUR HORSEMEN OF THE APOCALYPSE,1921,9183673,8,2241,9000,1,0,11,38,37,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0,METROPOLIS,1927,1236166,8,81007,9180,3,4,67,428,376,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,CITY LIGHTS,1931,19181,9,70057,5220,2,0,38,187,186,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,MODERN TIMES,1936,163577,9,90847,5220,3,1,44,27,180,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526,SNOW WHITE AND THE SEVEN DWARFS,1937,184925486,8,92722,4980,10,3,98,428,174,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,THE WIZARD OF OZ,1939,22342633,8,209506,6120,6,12,126,2363,477,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,GONE WITH THE WIND,1939,198676459,8,160414,14280,10,6,143,1263,653,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1399,PINOCCHIO,1940,84254167,8,56697,5280,2,0,63,179,124,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,CITIZEN KANE,1941,1585634,9,228617,7140,7,10,103,1439,1101,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
222,SERGEANT YORK,1941,16361885,8,10521,8040,3,9,16,18,84,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1476,BAMBI,1942,102247150,7,63109,3900,3,1,35,94,119,3,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,CASABLANCA,1942,4108411,9,296802,6120,5,6,153,382,960,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1661,THE BELLS OF ST. MARY'S,1945,21333333,8,4430,5280,3,7,16,3,45,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,THE BEST YEARS OF OUR LIVES,1946,23650000,8,30002,10320,13,1,15,129,218,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3576,DUEL IN THE SUN,1946,20408163,7,5458,8280,1,0,41,38,83,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
8,THE THIRD MAN,1949,618173,8,85964,6240,3,4,62,338,364,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
9,ALL ABOUT EVE,1950,63463,8,61738,8280,15,15,42,253,276,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,CINDERELLA,1950,93141149,7,72280,4440,4,4,39,134,89,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2066,THE GREATEST SHOW ON EARTH,1952,36000000,7,7333,9120,4,4,9,78,94,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,SINGIN' IN THE RAIN,1952,1826108,8,108115,6180,4,7,61,333,441,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2369,HOUSE OF WAX,1953,23750000,7,9173,5280,0,0,15,78,108,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2386,PETER PAN,1953,87404651,7,51944,4620,0,0,60,5,73,3,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,REAR WINDOW,1954,36764313,9,229323,6720,6,6,98,711,580,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2121,A STAR IS BORN,1954,4335968,8,9081,9240,6,3,41,380,116,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
292,THE CAINE MUTINY,1954,21750000,8,17021,7440,2,3,41,37,142,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,DIAL M FOR MURDER,1954,12562,8,72579,6300,3,2,51,232,223,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2468,LADY AND THE TRAMP,1955,93602326,7,51515,4560,1,1,55,247,87,3,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2122,AROUND THE WORLD IN 80 DAYS,1956,42000000,7,13506,10500,8,5,29,37,95,3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,THE TEN COMMANDMENTS,1956,65500000,8,37792,13200,5,7,48,281,207,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2484,GIANT,1956,177909,8,21880,12060,6,13,146,287,148,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
13,THE BRIDGE ON THE RIVER KWAI,1957,27200000,8,109972,9660,24,5,59,160,243,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15,VERTIGO,1958,7311013,9,176267,7680,6,3,106,671,618,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
14,TOUCH OF EVIL,1958,2247465,8,55474,5700,3,1,28,211,245,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
528,SLEEPING BEAUTY,1959,51600000,7,64374,4500,1,3,47,1905,122,3,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,BEN-HUR,1959,74000000,8,115402,12720,20,5,79,193,340,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,PSYCHO,1960,32000000,9,296676,6540,6,5,156,2059,885,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2485,SWISS FAMILY ROBINSON,1960,40356000,7,7965,7560,0,0,21,52,47,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,SPARTACUS,1960,1830650,8,81588,11820,6,9,55,415,256,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2123,WEST SIDE STORY,1961,44064958,8,56385,9120,19,7,151,963,297,3,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,LAWRENCE OF ARABIA,1962,44824144,8,140727,12960,20,13,91,929,509,3,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2125,THE MANCHURIAN CANDIDATE,1962,2757256,8,55718,7560,6,4,39,214,282,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
2124,HOW THE WEST WAS WON,1962,76729,7,11705,9840,7,5,56,96,134,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2126,CLEOPATRA,1963,57777778,7,17110,11520,3,11,101,707,172,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,DR. STRANGELOVE OR: HOW I LEARNED TO STOP WORRYING AND LOVE THE BOMB,1964,9440272,9,263157,5700,13,4,56,432,782,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
401,GOLDFINGER,1964,51081062,8,110130,6600,4,4,137,531,375,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2486,A SHOT IN THE DARK,1964,12368234,8,16452,6120,1,1,28,71,104,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
868,MARY POPPINS,1964,102272727,8,76881,8340,15,12,67,1684,223,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
869,MY FAIR LADY,1964,72000000,8,52814,10200,17,10,168,494,243,3,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
278,DOCTOR ZHIVAGO,1965,111721910,8,46656,11820,18,10,83,204,242,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
870,THE SOUND OF MUSIC,1965,158671368,8,110848,10440,12,12,90,1072,377,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518,THUNDERBALL,1965,63595658,7,63573,7800,3,4,55,242,248,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
